User,rating,date,review
d*****l,1 Sao (3),"2021-05-29 23:30 | Phân loại hàng: Đen,S","d*****l2021-05-29 23:30 | Phân loại hàng: Đen,SRất thất vọng! Lúc mình mua trực tiếp ở shop thì được quần ngon ơ luôn, nên về đặt thêm cái nữa cho chị mình mà ai dè nó 1 trời 1 vực.Chất vải rũ, mỏng và bóng, form quần cũng không đẹp, đặc biệt là lưng CHUN mặc lên cứ bị dúng nhìn kì lắm, nên cân nhắc khi mua,với giá này, chất này theo mình là mắcphản hồi của Người BánThứ 1 : Bạn đặt sai link sản phẩm, quần này trước giờ shop bán mặt trước là lưng tây, mặt sau là lưng chun, bạn tới shop mua loại lưng tây ( loại khác ) nhưng lên shopee đặt bạn không hỏi kĩ shop, bạn tự ý đặt sai mẫu, xong nói shop soạn sai hàng cho bạn là vô lý ạ .
Thứ 2 : Lúc bạn đặt sai bên mình đã có thiện ý đổi lại nhưng bạn lại lên đánh giá như này vừa sai sự thật, thật sự rất thất vọng . Sản phẩm bán hơn 3 trăm mấy cái nhưng bạn đánh giá dìm sản phẩm như này rất thiệt thòi cho shop. Mong các bạn khác khi đặt hàng có cái nhìn khách quan hơn ạ ! 1báo cáo"
tranthinq,1 Sao (3),"2019-10-31 05:27 | Phân loại hàng: Đen,XS","tranthinq2019-10-31 05:27 | Phân loại hàng: Đen,XSVải mỏng, xấu không thể tả, xs mà như xl :)))phản hồi của Người BánDạ rất tiếc vì bạn có trải nghiệm mua hàng không vui tại shop, nhưng bạn ơi quần này là quần ống rộng bạn ạ, mặc lên dĩ nhiên phải rộng rộng rồi, mẫu này bên shop mình bán ngót nghét cả ngàn cái rồi ấy, nhưng chỉ đúng mình bạn review 1* thôi, thật sự quá đáng so với sản phẩm mà bên mình rất tâm đắc, nhưng thôi đó là quyền của bạn, hi vọng lần sau b mua chỗ nào có cái nhìn khách quan hơn. 1báo cáo"
hy7pm_q7au,1 Sao (3),"2021-10-01 16:45 | Phân loại hàng: Đen,M","hy7pm_q7au2021-10-01 16:45 | Phân loại hàng: Đen,Mhữu ích?báo cáo"
Người dùng Shopee,2 Sao (1),"2020-08-10 11:10 | Phân loại hàng: Đen,S","Người dùng Shopee2020-08-10 11:10 | Phân loại hàng: Đen,SQuần mặc đúng dáng mà vải bóng như quần cũ ko mặc ra ngoài đcphản hồi của Người BánTrong inbox nhắn tin với shop thì bạn báo mặc không hợp, không thích nên đòi đổi, nhưng quy định của shop mình là không đổi trong trường hợp không thích không hợp. Bên mình không cho đổi thì quay sang đánh giá dìm hàng sản phẩm là cũ ( trong khi sản phẩm nguyên tem, nguyên mạc, chưa cắt khuy quần).hữu ích?báo cáo"
hatechitam,4 Sao (9),"2021-05-08 20:29 | Phân loại hàng: Đen,L","hatechitam2021-05-08 20:29 | Phân loại hàng: Đen,LVải quần rất bóng mặc trông già nnshdndndhdbxbbxbxbxnxnxnxnxnnxnxnxnxnxnxndnxnnxnxxn 0:07 phản hồi của Người BánVải là tuyết mưa mềm mịn, bóng rất nhẹ chứ bạn nói rất bóng là sai sự thật ạ, vải này cực kì mát mịn, hạn chế nhăn.hữu ích?báo cáo"
n*****0,4 Sao (9),"2023-09-01 14:08 | Phân loại hàng: Đen,XL","n*****02023-09-01 14:08 | Phân loại hàng: Đen,XLmình đã từng mua sản phẩm này ở shop 2 lần và lần này là lần thứ 3 nma khi nhận hàng mình thực sự k ưng = 2 lần trc,cùng size với 2 lần trc nhưng lại ngắn hơn và form quần cũng k đẹp = 🥲hữu ích?báo cáo"
lig.chee,4 Sao (9),"2019-10-17 03:08 | Phân loại hàng: Đen,M","lig.chee2019-10-17 03:08 | Phân loại hàng: Đen,Mgiao hàng chậmphản hồi của Người BánBạn ơi nhanh chậm là do bên giao hàng chứ không phải do bên shop đâu ạ , do mẫu này hàng có sẵn bạn lên đơn là bên mình ship liền đó ạ 😢hữu ích?báo cáo"
qynki_816,4 Sao (9),"2024-07-20 11:06 | Phân loại hàng: Áo đen,L","qynki_8162024-07-20 11:06 | Phân loại hàng: Áo đen,Lhữu ích?báo cáo"
tranyennhi2108,4 Sao (9),"2020-06-01 05:54 | Phân loại hàng: Đen,M","tranyennhi21082020-06-01 05:54 | Phân loại hàng: Đen,Mhữu ích?báo cáo"
nhung.nhing,4 Sao (9),"2020-07-01 12:06 | Phân loại hàng: Đen,L","nhung.nhing2020-07-01 12:06 | Phân loại hàng: Đen,Lhữu ích?báo cáo"
