ID,User,rating,date,review,type,sentiment
1,anguyenha,5,"2024-07-29 22:51 | Phân loại hàng: Nude,M (46-54 Kg)","Chất liệu: đẹpMàu sắc: HồngSản phẩm mặc rất thoái mái, mát, không bị lộ viền, phù hợp với những bạn hay mặc đồ body như mình! Chắc chắn sẽ mua lại sp của shop ạ",bot,"{'positive':100%,'negative':0%}"
1,dieu184,5,"2024-07-25 08:29 | Phân loại hàng: Đen,S (39-45 Kg)",Quần rẻ mà mặc oke nha mn. Quất liền 10c mặc cả tuần k lo k có quần mặc. Chất mềm mát mặc khá thoáng. Thank shop đã tư vấn nhiệt tình ạ.,bot,"{'positive':95%,'negative':5%}"
1,hyennnz,5,"2024-07-26 20:11 | Phân loại hàng: Nude,M (39-45 Kg)","Đúng với mô tả: totChất liệu: mềm mịnMàu sắc: đỏẢnh 1 chất lượng 10 Theo nhue trải nghiệm của mình thì thật sự đáng với mong đợi,dám bỏ tiền ra mua sản phẩm với lượt mua khá ít và thứ mình nhận lại rất tuyệt Đáng đồng tiền bát gạo!!!",bot,"{'positive':100%,'negative':0%}"
1,phnganhnguynth021,5,"2024-08-10 10:36 | Phân loại hàng: Đen,L (46-54 Kg)","Quần oki nha mọi người, shipper thân thiện, rẻ nên đặt phát 5 cái luôn 0:06",bot,"{'positive':90%,'negative':10%}"
1,anguyenha,5,"2024-07-29 22:51 | Phân loại hàng: Nude,M (46-54 Kg)","Chất liệu: đẹpMàu sắc: HồngSản phẩm mặc rất thoái mái, mát, không bị lộ viền, phù hợp với những bạn hay mặc đồ body như mình! Chắc chắn sẽ mua lại sp của shop ạ",bot,"{'positive':100%,'negative':0%}"
1,dieu184,5,"2024-07-25 08:29 | Phân loại hàng: Đen,S (39-45 Kg)",Quần rẻ mà mặc oke nha mn. Quất liền 10c mặc cả tuần k lo k có quần mặc. Chất mềm mát mặc khá thoáng. Thank shop đã tư vấn nhiệt tình ạ.,bot,"{'positive':95%,'negative':5%}"
1,hyennnz,5,"2024-07-26 20:11 | Phân loại hàng: Nude,M (39-45 Kg)","Đúng với mô tả: totChất liệu: mềm mịnMàu sắc: đỏẢnh 1 chất lượng 10 Theo nhue trải nghiệm của mình thì thật sự đáng với mong đợi,dám bỏ tiền ra mua sản phẩm với lượt mua khá ít và thứ mình nhận lại rất tuyệt Đáng đồng tiền bát gạo!!!",bot,"{'positive':90%,'negative':10%}"
1,phnganhnguynth021,5,"2024-08-10 10:36 | Phân loại hàng: Đen,L (46-54 Kg)","Quần oki nha mọi người, shipper thân thiện, rẻ nên đặt phát 5 cái luôn 0:06",bot,
1,anguyenha,5,"2024-07-29 22:51 | Phân loại hàng: Nude,M (46-54 Kg)","Chất liệu: đẹpMàu sắc: HồngSản phẩm mặc rất thoái mái, mát, không bị lộ viền, phù hợp với những bạn hay mặc đồ body như mình! Chắc chắn sẽ mua lại sp của shop ạ",bot,"{'positive':100%,'negative':0%}"
1,dieu184,5,"2024-07-25 08:29 | Phân loại hàng: Đen,S (39-45 Kg)",Quần rẻ mà mặc oke nha mn. Quất liền 10c mặc cả tuần k lo k có quần mặc. Chất mềm mát mặc khá thoáng. Thank shop đã tư vấn nhiệt tình ạ.,bot,"{'positive':90%,'negative':5%}"
