User,tanggal waktu,review
phuongthao1609_,"2023-06-02 15:01 | Phân loại hàng: Kem,L","Màu sắc: kemChất liệu: ok kh mỏng kh quá dày, mátĐúng với mô tả: đúngtui m55 45kg mặc sz L như vậy á, xinh lắm mng ơi được tặng thêm cây bút á, tui mua lần t2 ở shop rồi kh có gì thất vọng luôn ấy"
bdjdbbsjddb,"2023-11-10 07:37 | Phân loại hàng: Green trendy,L","Màu sắc: xanh rêuĐúng với mô tả: đúngChất liệu: cottonVải áo rất đẹp,dày dặn, màu đẹp,giao hàng nhanh, nhân viên tư vấn nhiệt tình,10 đỉm 10 sap"
iuhs7r8uii,"2023-05-09 19:03 | Phân loại hàng: Trắng,L","Màu sắc: TrắngChất liệu: vảiĐúng với mô tả: rất đẹpÁo siêu đẹp luônnn￼,đúng màu sắc kích cỡ do hàng quốc tế nhưng ship vẫn rất nhanh.Áo còn có mùi thơm lắm,lại còn được tặng kèm quà nữa lần sau sẽ ủng hộ shop nữa.Mng nên mua thử nha xịn vzzz:))"
n*****5,"2023-04-26 11:03 | Phân loại hàng: Kem,M","2023-04-26 11:03 | Phân loại hàng: Kem,M"
sajami,"2023-07-27 21:01 | Phân loại hàng: Green trendy,M",Đúng với mô tả: cóMàu sắc: xanh láChất liệu: cottonMẫu áo đẹp như hình. Hình in trên áo chuẩn và dễ thương. Nhưng hơi oversize
_*****1,"2023-08-23 13:32 | Phân loại hàng: Green trendy,L","2023-08-23 13:32 | Phân loại hàng: Green trendy,L"
hoanq_ahnn08,"2024-08-05 07:57 | Phân loại hàng: Kem,M","Màu sắc: kemChất liệu: k bit :))Đúng với mô tả: đúngnên mua nhaaa
Valentine’s Day is celebrated on the fourteenth of February. It is a time when people show feelings of love, affection and friendship. On this day, people will send Valentine’s cards, give flowers of go out for dinner together. One of the most common presents on this day is chocolate. The first St. Valentine's Day was in England and then spread around the world including many countries in Europe, Asia and South America. However in some countries such as India, Valentine's Day is not allowed. In india, may lovers are not even allowed to go out together or show their love to each other in public places."
p*****2,"2023-04-26 10:10 | Phân loại hàng: Green trendy,M","2023-04-26 10:10 | Phân loại hàng: Green trendy,M"
hoaiphuonghjhj,"2024-07-22 08:40 | Phân loại hàng: Đen,M","Màu sắc: okĐúng với mô tả: okQua em dùng thử em gel lột mụn mới mua mà vừa vui vừa buồn, vui bởi nó lột mụn đỉnh lắm, mà  buồn vì không được tặng quà mn ạ. Mai 15/8 em có nên mua thêm lần nữa không ạ vì cả nhà em dùng cũng gần hết lọ gel đó rồi. Để link đây cho mn trải nghiệm nhé https://s.shopee.vn/7AHo7Uqsv5 — với Lâm Bảo Ngọc."
t*****3,"2023-05-10 15:26 | Phân loại hàng: Kem,L","2023-05-10 15:26 | Phân loại hàng: Kem,L"
kim_zyy_10,"2024-05-17 22:29 | Phân loại hàng: Kem,M","Đúng với mô tả: đúngChất liệu: vải cotton mềmMàu sắc: be sángMàu xinh á, hoạ tiết in cũm được, k chỉ thừa, ship nhanh. Mua áp mã trong live rẻ lắm ạ."
thinhtrn449,"2023-08-28 17:06 | Phân loại hàng: Đen,L",Chất liệu: cottonĐúng với mô tả: đúngMàu sắc: đenVải nó kiểu thô thô á nói chung là rất ổn mình săn nên còn có 82 à với giá đó thì oke.
n*****9,"2024-07-08 10:30 | Phân loại hàng: Xanh,L","2024-07-08 10:30 | Phân loại hàng: Xanh,L"
hongpham130602,"2024-06-05 11:47 | Phân loại hàng: Đen,M","Chất liệu: cottonMàu sắc: đenĐúng với mô tả: đúngGiao hàng nhanh,chất vải đẹp in hình cũg thấy chất lượng. Áo khá đẹp,mua đc giá tốt nên rất ưng. Mọi ng nên mua nha"
p2zjdt31j_,"2024-07-05 20:31 | Phân loại hàng: Đen,L","Chất liệu: thun mềm,mịnĐúng với mô tả: 100%Màu sắc: đenMình mua áo ở 8yo nhìu lần ròi, lần nào cũng chất lượng lắm nè, giá lại luôn sale mấy bạn nên mua nha, mà from rộng nên bạn nào tầm 75kg đổ lại thì mặt size L vẫn ok lắmm."
bx7dq66aqu,"2024-07-07 17:39 | Phân loại hàng: Đen,L",Màu sắc: ĐenÁo của shop chất đẹp và nhiều hình để mik chọn. Mik mua áo 3 lần r mỗi lần một hình khác nhau. Màu sắc thì rõ nét. Mọi ng mua ủng hộ shop nhé!!!!!!
khanhdan1126,"2023-05-26 16:19 | Phân loại hàng: Kem,M","Chất liệu: cotton trăm phần trămĐúng với mô tả: ýeMàu sắc: kemKh nghĩ là mình lại săn được với giá như vậy luôn á hihi, shop trả lời tin nhắn rất gọn nhẹ nhé ạ, hàng được giao nội trong 3 ngày luôn, shop gói hàng chỉn chu, sạch sẽ, thơm tho. Mình thích tác phong nhắn ít làm nhiều như thế 🤗
Chất lượng: xứng đáng với giá tiền nhea ạ, áo dày dặn, form rộng đúng ý mình, hình in sắc nét, design dễ thương xĩu
Shipper cũng tận tâm lắm ạ
Trải nghiệm lần đầu ở shop 10/10 💖"
l*****7,"2024-07-29 21:07 | Phân loại hàng: Kem,L","2024-07-29 21:07 | Phân loại hàng: Kem,L"
trmlng304,"2024-06-24 19:53 | Phân loại hàng: Kem,L","Đúng với mô tả: đúngÁo xinh lắm nha mn ơiii😍😍😍. Giao hàng nhanh, shipper thân thiện, shop siuu dễ thương luonn á🥰. Mình nghĩ mn nên trải nghiệm sp của shop 1 lần nhé. Mình sẽ quay lại vào lần sauuu🤭✨"
tuyen2642002,"2023-04-18 11:42 | Phân loại hàng: Đen,M","Đúng với mô tả: đúngMàu sắc: đenChất liệu: vảiVải mịn, dày size M mà nhìn to ghê luôn, mua shop rất nhiều lần rồi mà chất lượng vẫn không đổi"
k*****d,"2024-05-17 23:21 | Phân loại hàng: Kem,XL","2024-05-17 23:21 | Phân loại hàng: Kem,XL"
c*****7,"2024-07-09 11:57 | Phân loại hàng: Hồng,L","2024-07-09 11:57 | Phân loại hàng: Hồng,L"
